Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AZU - 4100,AZUL,Nacional,2016-05-01 03:45:00+00:00,2016-04-30T03:34:00Z,2016-05-01T06:25:00Z,2016-04-30T06:12:00Z,Realizado,ANTECIPACAO DE HORARIO AUTORIZADA,Santa Maria,Aracaju,SE,Brasil,Viracopos,Campinas,SP,Brasil,-47.1375685,-23.008205,-37.0762462,-10.9822278
AZU - 2685,AZUL,Nacional,2016-05-01 04:00:00+00:00,2016-04-30T03:52:00Z,2016-05-01T06:40:00Z,2016-04-30T06:34:00Z,Realizado,ANTECIPACAO DE HORARIO AUTORIZADA,Senador Nilo Coelho,Petrolina,PE,Brasil,Viracopos,Campinas,SP,Brasil,-47.1375685,-23.008205,-40.5660751,-9.3665077
AZU - 4100,AZUL,Nacional,2016-05-01 02:25:00+00:00,2016-04-30T02:19:00Z,2016-05-01T03:15:00Z,2016-04-30T03:04:00Z,Realizado,ANTECIPACAO DE HORARIO AUTORIZADA,Zumbi Dos Palmares,Rio Largo,AL,Brasil,Santa Maria,Aracaju,SE,Brasil,-37.0762462,-10.9822278,-35.7928829,-9.5116056
PAM - 5912,MAP LINHAS AEREAS,Nacional,2016-05-01 11:27:00+00:00,2016-04-30T12:19:00Z,2016-05-01T12:55:00Z,2016-04-30T13:35:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Altamira,Altamira,PA,Brasil,Val De Cans,Belem,PA,Brasil,-48.4775227,-1.3820615,-52.2490864,-3.2535656
PAM - 5912,MAP LINHAS AEREAS,Nacional,2016-05-01 09:02:00+00:00,2016-04-30T09:46:00Z,2016-05-01T09:40:00Z,2016-04-30T10:26:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Itaituba,Itaituba,PA,Brasil,Maestro Wilson Fonseca,Santarem,PA,Brasil,-54.7862433,-2.4248295,-56.0068645,-4.2457249
PAM - 5912,MAP LINHAS AEREAS,Nacional,2016-05-01 10:10:00+00:00,2016-04-30T11:00:00Z,2016-05-01T10:57:00Z,2016-04-30T11:51:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Maestro Wilson Fonseca,Santarem,PA,Brasil,Altamira,Altamira,PA,Brasil,-52.2490864,-3.2535656,-54.7862433,-2.4248295
GLO - 1205,GOL,Regional,2016-05-01 04:00:00+00:00,,2016-05-01T05:50:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Val De Cans,Belem,PA,Brasil,Pinto Martins,Fortaleza,CE,Brasil,-38.5330966,-3.7771555,-48.4775227,-1.3820615
ARE - 3505,AIRES - LAN COLOMBIA,Internacional,2016-05-01 23:30:00+00:00,2016-05-01T23:30:00Z,2016-05-02T05:50:00Z,2016-05-02T05:50:00Z,Realizado,,Bogota,Bogota,N/I,Colombia,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-74.1444969,4.7014128
GLO - 7637,GOL,Internacional,2016-05-01 03:10:00+00:00,2016-05-01T03:10:00Z,2016-05-01T05:50:00Z,2016-05-01T05:50:00Z,Realizado,,Montevideu,Montevideu,N/I,Uruguai,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-56.0302418,-34.8371859
GLO - 7617,GOL,Internacional,2016-05-01 02:55:00+00:00,2016-05-01T02:55:00Z,2016-05-01T05:50:00Z,2016-05-01T05:50:00Z,Realizado,,Rosario,Rosario,N/I,Argentina,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-60.7803905,-32.9168872
